DATE,HOTEL_ID,DTA,LOS,BOOKING_DOW,BOOKINGS,GMV
2020-03-08,148494,5,2,Sun,1,135.9468544
2020-03-22,440116,0,1,Sun,1,62.1289984
2020-03-01,106303,0,1,Sun,1,55.5921408
2020-03-03,133926,6,4,Tue,1,314.1648384
2020-03-11,112047,0,1,Wed,1,91.458304
2020-03-13,325273,0,2,Fri,1,118.8092416
2020-03-24,136881,0,1,Tue,1,74.1640704
2020-03-13,135542,5,2,Fri,1,34.4318464
2020-03-29,206550,0,1,Sun,2,92.6370816
2020-03-14,117698,0,1,Sat,1,52.9543168
2020-03-30,260773,0,2,Mon,1,115.7510144
2020-03-14,149632,0,1,Sat,1,107.285248
2020-03-05,201802,0,1,Thu,1,49.6900096
2020-03-13,220677,0,1,Fri,1,90.6504704
2020-03-07,105930,0,1,Sat,4,276.4934144
2020-03-05,124086,0,3,Thu,1,149.7707008
2020-03-07,109451,0,1,Sat,1,131.9653888
2020-03-25,107020,0,1,Wed,1,100.9132544
2020-03-13,114154,0,1,Fri,2,154.5105408
2020-03-04,115660,2,1,Wed,1,63.843584
2020-03-25,191156,0,1,Wed,1,71.1965184
2020-03-05,197777,1,1,Thu,1,79.9920128
2020-03-22,475770,0,1,Sun,1,87.8477824
2020-03-22,255433,0,1,Sun,1,70.2980096
2020-03-08,270617,0,1,Sun,2,155.2771584
2020-03-10,174198,18,1,Tue,3,301.7670656
2020-03-20,107352,0,2,Fri,1,138.0983296
2020-03-17,148005,0,1,Tue,1,65.0965504
2020-03-11,455544,0,1,Wed,1,47.7446144
2020-03-14,240487,0,1,Sat,1,65.4262784
2020-03-03,126480,0,1,Tue,1,75.507712
2020-03-10,124098,2,1,Tue,1,130.8278272
2020-03-18,130323,1,1,Wed,1,73.7189376
2020-03-18,196620,1,1,Wed,1,67.5859968
2020-03-09,108379,3,1,Mon,1,64.379392
2020-03-11,112373,0,1,Wed,1,48.8244736
2020-03-09,138004,0,1,Mon,1,61.4448128
2020-03-11,124086,2,1,Wed,1,50.5060864
2020-03-06,121340,0,3,Fri,1,188.109824
2020-03-21,199890,0,2,Sat,1,146.9680128
2020-03-14,106751,0,1,Sat,1,57.8507776
2020-03-18,671843,0,1,Wed,1,68.5092352
2020-03-24,379714,0,1,Tue,1,58.691584
2020-03-21,125103,0,1,Sat,1,65.7147904
2020-03-17,201875,0,1,Tue,1,48.7750144
2020-03-19,211498,2,4,Thu,1,206.5251328
2020-03-14,133689,0,1,Sat,1,62.0383232
2020-03-11,135542,1,2,Wed,1,85.481984
2020-03-06,263215,0,3,Fri,1,315.3930752
2020-03-06,566866,5,1,Fri,1,69.902336
2020-03-03,148494,0,1,Tue,1,71.3201664
2020-03-19,1024715,0,1,Thu,1,38.4875008
2020-03-20,223727,0,1,Fri,1,76.991488
2020-03-07,134786,0,1,Sat,1,51.6766208
2020-03-04,242769,9,4,Wed,1,251.2774656
2020-03-13,139960,0,1,Fri,1,63.926016
2020-03-06,324439,0,1,Fri,1,53.745664
2020-03-17,225943,0,1,Tue,1,47.9177216
2020-03-11,134840,0,1,Wed,1,176.9732608
2020-03-27,127400,0,1,Fri,2,82.4484864
2020-03-04,106657,1,2,Wed,1,170.799104
2020-03-02,164866,4,3,Mon,1,150.5950208
2020-03-13,134406,0,3,Fri,1,149.4739456
2020-03-10,128570,3,7,Tue,1,310.438912
2020-03-14,203505,0,2,Sat,1,101.9518976
2020-03-07,135574,0,2,Sat,1,95.8354432
2020-03-17,164835,0,1,Tue,1,55.3283584
2020-03-27,228007,0,1,Fri,1,56.1938944
2020-03-01,207498,25,1,Sun,1,72.4824576
2020-03-05,205446,1,3,Thu,1,266.2883328
2020-03-24,139551,0,1,Tue,1,93.3872128
2020-03-08,242769,0,5,Sun,1,515.2329728
2020-03-25,135493,0,1,Wed,1,49.417984
2020-03-11,177993,1,1,Wed,1,78.846208
2020-03-06,119708,0,1,Fri,1,47.8023168
2020-03-17,188832,0,1,Tue,1,57.2325376
2020-03-14,133689,0,1,Sat,1,67.5200512
2020-03-13,1036814,0,1,Fri,1,55.888896
